Label,Tweet,Tokenization,Stop_Removal,Tweet_Stemmed
Non_HS,"bos mau makan istana undang noh makan istana gebang tapinya https    nscuycpuj","['bos', 'mau', 'makan', 'istana', 'undang', 'noh', 'makan', 'istana', 'gebang', 'tapinya', 'https', 'nscuycpuj']","['bos', 'makan', 'istana', 'undang', 'noh', 'makan', 'istana', 'gebang', 'tapinya', 'https', 'nscuycpuj']","['bos', 'makan', 'istana', 'undang', 'noh', 'makan', 'istana', 'gebang', 'tapi', 'https', 'nscuycpuj']"
Non_HS,"cuti habis ahok jadi gubernur dki lagi pengamat jangan mengada ada republika online https    tkzvqee","['cuti', 'habis', 'ahok', 'jadi', 'gubernur', 'dki', 'lagi', 'pengamat', 'jangan', 'mengada', 'ada', 'republika', 'online', 'https', 'tkzvqee']","['cuti', 'habis', 'ahok', 'gubernur', 'dki', 'pengamat', 'mengada', 'republika', 'online', 'https', 'tkzvqee']","['cuti', 'habis', 'ahok', 'gubernur', 'dki', 'amat', 'ada', 'republika', 'online', 'https', 'tkzvqee']"
Non_HS,"debat terakhir pilkada dki jakarta digelar jumat malam https    eixzjllr","['debat', 'terakhir', 'pilkada', 'dki', 'jakarta', 'digelar', 'jumat', 'malam', 'https', 'eixzjllr']","['debat', 'pilkada', 'dki', 'jakarta', 'digelar', 'jumat', 'malam', 'https', 'eixzjllr']","['debat', 'pilkada', 'dki', 'jakarta', 'gelar', 'jumat', 'malam', 'https', 'eixzjllr']"
Non_HS,"demonstran fpd malteng desak bawaslu hentikan sementara tahapan pilkada maluku tengah","['demonstran', 'fpd', 'malteng', 'desak', 'bawaslu', 'hentikan', 'sementara', 'tahapan', 'pilkada', 'maluku', 'tengah']","['demonstran', 'fpd', 'malteng', 'desak', 'bawaslu', 'hentikan', 'tahapan', 'pilkada', 'maluku']","['demonstran', 'fpd', 'malteng', 'desak', 'bawaslu', 'henti', 'tahap', 'pilkada', 'malu']"
Non_HS,"dulu didesak berhentikan ahok ngeles usai masa cuti pilkada sekarang kampanye mau habis kemendagri ragu ragu https    sstrdcx","['dulu', 'didesak', 'berhentikan', 'ahok', 'ngeles', 'usai', 'masa', 'cuti', 'pilkada', 'sekarang', 'kampanye', 'mau', 'habis', 'kemendagri', 'ragu', 'ragu', 'https', 'sstrdcx']","['didesak', 'berhentikan', 'ahok', 'ngeles', 'cuti', 'pilkada', 'kampanye', 'habis', 'kemendagri', 'ragu', 'ragu', 'https', 'sstrdcx']","['desak', 'henti', 'ahok', 'ngeles', 'cuti', 'pilkada', 'kampanye', 'habis', 'kemendagri', 'ragu', 'ragu', 'https', 'sstrdcx']"
Non_HS,"gila gara pilkada beberapa tokoh menampakkan watak aslinya","['gila', 'gara', 'pilkada', 'beberapa', 'tokoh', 'menampakkan', 'watak', 'aslinya']","['gila', 'gara', 'pilkada', 'tokoh', 'menampakkan', 'watak', 'aslinya']","['gila', 'gara', 'pilkada', 'tokoh', 'tampak', 'watak', 'asli']"
Non_HS,"gontor izinkan santrinya pulang kampung nyoblos pilkada dki republika online https    jhnotecnz","['gontor', 'izinkan', 'santrinya', 'pulang', 'kampung', 'nyoblos', 'pilkada', 'dki', 'republika', 'online', 'https', 'jhnotecnz']","['gontor', 'izinkan', 'santrinya', 'pulang', 'kampung', 'nyoblos', 'pilkada', 'dki', 'republika', 'online', 'https', 'jhnotecnz']","['gontor', 'izin', 'santri', 'pulang', 'kampung', 'nyoblos', 'pilkada', 'dki', 'republika', 'online', 'https', 'jhnotecnz']"
Non_HS,"gubernur non aktif dki jakarta basuki tjahaja purnama atau ahok berencana merombak struktur jabatan pegawai https    cdkezxfxo","['gubernur', 'non', 'aktif', 'dki', 'jakarta', 'basuki', 'tjahaja', 'purnama', 'atau', 'ahok', 'berencana', 'merombak', 'struktur', 'jabatan', 'pegawai', 'https', 'cdkezxfxo']","['gubernur', 'non', 'aktif', 'dki', 'jakarta', 'basuki', 'tjahaja', 'purnama', 'ahok', 'berencana', 'merombak', 'struktur', 'jabatan', 'pegawai', 'https', 'cdkezxfxo']","['gubernur', 'non', 'aktif', 'dki', 'jakarta', 'basuki', 'tjahaja', 'purnama', 'ahok', 'rencana', 'rombak', 'struktur', 'jabat', 'pegawai', 'https', 'cdkezxfxo']"
Non_HS,"hebat imam besar masjid istiqlal kalimat ahok  tidak ada penistaan agama sebarkan","['hebat', 'imam', 'besar', 'masjid', 'istiqlal', 'kalimat', 'ahok', 'tidak', 'ada', 'penistaan', 'agama', 'sebarkan']","['hebat', 'imam', 'masjid', 'istiqlal', 'kalimat', 'ahok', 'penistaan', 'agama', 'sebarkan']","['hebat', 'imam', 'masjid', 'istiqlal', 'kalimat', 'ahok', 'nista', 'agama', 'sebar']"
Non_HS,"ibu aja kalo beli telor pake milih sblm ditimbang pdh telor kan mirip ibu itu tahu telor ada busuk","['ibu', 'aja', 'kalo', 'beli', 'telor', 'pake', 'milih', 'sblm', 'ditimbang', 'pdh', 'telor', 'kan', 'mirip', 'ibu', 'itu', 'tahu', 'telor', 'ada', 'busuk']","['aja', 'kalo', 'beli', 'telor', 'pake', 'milih', 'sblm', 'ditimbang', 'pdh', 'telor', 'telor', 'busuk']","['aja', 'kalo', 'beli', 'telor', 'pake', 'milih', 'sblm', 'timbang', 'pdh', 'telor', 'telor', 'busuk']"
Non_HS,"ini jawaban ahok saat ditanya terkait persiapan debat pilgub terakhir besok https    srlsary","['ini', 'jawaban', 'ahok', 'saat', 'ditanya', 'terkait', 'persiapan', 'debat', 'pilgub', 'terakhir', 'besok', 'https', 'srlsary']","['ahok', 'terkait', 'persiapan', 'debat', 'pilgub', 'besok', 'https', 'srlsary']","['ahok', 'kait', 'siap', 'debat', 'pilgub', 'besok', 'https', 'srlsary']"
Non_HS,"ini pesan ahok hari pers nasional https    hlmrjmr","['ini', 'pesan', 'ahok', 'hari', 'pers', 'nasional', 'https', 'hlmrjmr']","['pesan', 'ahok', 'pers', 'nasional', 'https', 'hlmrjmr']","['pesan', 'ahok', 'pers', 'nasional', 'https', 'hlmrjmr']"
Non_HS,"istighotsah bersama ahok catut logo https    urpycr","['istighotsah', 'bersama', 'ahok', 'catut', 'logo', 'https', 'urpycr']","['istighotsah', 'ahok', 'catut', 'logo', 'https', 'urpycr']","['istighotsah', 'ahok', 'catut', 'logo', 'https', 'urpycr']"
Non_HS,"itu yang ngomong jangan pilih ahok djarot pernah ngerasain banjir sih","['itu', 'yang', 'ngomong', 'jangan', 'pilih', 'ahok', 'djarot', 'pernah', 'ngerasain', 'banjir', 'sih']","['ngomong', 'pilih', 'ahok', 'djarot', 'ngerasain', 'banjir', 'sih']","['ngomong', 'pilih', 'ahok', 'djarot', 'ngerasain', 'banjir', 'sih']"
Non_HS,"iya aja deh dripada hoax","['iya', 'aja', 'deh', 'dripada', 'hoax']","['iya', 'aja', 'deh', 'dripada', 'hoax']","['iya', 'aja', 'deh', 'dripada', 'hoax']"
Non_HS,"jadi teringat para pelacur belia dijual orang tuanya sendiri pantura demi sesuap nasi https    xddrm","['jadi', 'teringat', 'para', 'pelacur', 'belia', 'dijual', 'orang', 'tuanya', 'sendiri', 'pantura', 'demi', 'sesuap', 'nasi', 'https', 'xddrm']","['pelacur', 'belia', 'dijual', 'orang', 'tuanya', 'pantura', 'sesuap', 'nasi', 'https', 'xddrm']","['lacur', 'belia', 'jual', 'orang', 'tua', 'pantura', 'suap', 'nasi', 'https', 'xddrm']"
Non_HS,"jadi nyebar hoax ketahuan dong ada akun twitter nya lho","['jadi', 'nyebar', 'hoax', 'ketahuan', 'dong', 'ada', 'akun', 'twitter', 'nya', 'lho']","['nyebar', 'hoax', 'ketahuan', 'akun', 'twitter', 'nya', 'lho']","['nyebar', 'hoax', 'tahu', 'akun', 'twitter', 'nya', 'lho']"
Non_HS,"mpok murni nya tolong mas","['mpok', 'murni', 'nya', 'tolong', 'mas']","['mpok', 'murni', 'nya', 'tolong', 'mas']","['mpok', 'murni', 'nya', 'tolong', 'mas']"
Non_HS,"bidara beli mangga pulang nye liwat slipi jangan lupa ingetin tetangga untuk milih agus sylvi harilagimilihahy","['bidara', 'beli', 'mangga', 'pulang', 'nye', 'liwat', 'slipi', 'jangan', 'lupa', 'ingetin', 'tetangga', 'untuk', 'milih', 'agus', 'sylvi', 'harilagimilihahy']","['bidara', 'beli', 'mangga', 'pulang', 'nye', 'liwat', 'slipi', 'lupa', 'ingetin', 'tetangga', 'milih', 'agus', 'sylvi', 'harilagimilihahy']","['bidara', 'beli', 'mangga', 'pulang', 'nye', 'liwat', 'slip', 'lupa', 'ingetin', 'tetangga', 'milih', 'agus', 'sylvi', 'harilagimilihahy']"
Non_HS,"serius tapi ada selipan hiburannya uddudeuddudeuddude","['serius', 'tapi', 'ada', 'selipan', 'hiburannya', 'uddudeuddudeuddude']","['serius', 'selipan', 'hiburannya', 'uddudeuddudeuddude']","['serius', 'selip', 'hibur', 'uddudeuddudeuddude']"
Non_HS,"sylvie sukses blunder bikin paslon drop elektabilitasnya dengan fitnah dan spin salah pilih kader","['sylvie', 'sukses', 'blunder', 'bikin', 'paslon', 'drop', 'elektabilitasnya', 'dengan', 'fitnah', 'dan', 'spin', 'salah', 'pilih', 'kader']","['sylvie', 'sukses', 'blunder', 'bikin', 'paslon', 'drop', 'elektabilitasnya', 'fitnah', 'spin', 'salah', 'pilih', 'kader']","['sylvie', 'sukses', 'blunder', 'bikin', 'paslon', 'drop', 'elektabilitasnya', 'fitnah', 'spin', 'salah', 'pilih', 'kader']"
Non_HS,"ahok mari berlomba program","['ahok', 'mari', 'berlomba', 'program']","['ahok', 'mari', 'berlomba', 'program']","['ahok', 'mari', 'lomba', 'program']"
Non_HS,"aduh kecewa pertanyaan paslon","['aduh', 'kecewa', 'pertanyaan', 'paslon']","['aduh', 'kecewa', 'paslon']","['aduh', 'kecewa', 'paslon']"
Non_HS,"saya pilih nomor sektor informal akan dimajukan mas agus dan mpok sylvi","['saya', 'pilih', 'nomor', 'sektor', 'informal', 'akan', 'dimajukan', 'mas', 'agus', 'dan', 'mpok', 'sylvi']","['pilih', 'nomor', 'sektor', 'informal', 'dimajukan', 'mas', 'agus', 'mpok', 'sylvi']","['pilih', 'nomor', 'sektor', 'informal', 'maju', 'mas', 'agus', 'mpok', 'sylvi']"
Non_HS,"ahok pilihan terbaik untuk jakarta","['ahok', 'pilihan', 'terbaik', 'untuk', 'jakarta']","['ahok', 'pilihan', 'terbaik', 'jakarta']","['ahok', 'pilih', 'baik', 'jakarta']"
Non_HS,"silvy curhat karena pernah dimarahi sama pak ahok hehe","['silvy', 'curhat', 'karena', 'pernah', 'dimarahi', 'sama', 'pak', 'ahok', 'hehe']","['silvy', 'curhat', 'dimarahi', 'ahok', 'hehe']","['silvy', 'curhat', 'marah', 'ahok', 'hehe']"
Non_HS,"mantap pak ahok","['mantap', 'pak', 'ahok']","['mantap', 'ahok']","['mantap', 'ahok']"
Non_HS,"ahok gagah kaya gatot kaca","['ahok', 'gagah', 'kaya', 'gatot', 'kaca']","['ahok', 'gagah', 'kaya', 'gatot', 'kaca']","['ahok', 'gagah', 'kaya', 'gatot', 'kaca']"
Non_HS,"telaaaakkk nomer satuuuu nghahahaha","['telaaaakkk', 'nomer', 'satuuuu', 'nghahahaha']","['telaaaakkk', 'nomer', 'satuuuu', 'nghahahaha']","['telaaaakkk', 'nomer', 'satuuuu', 'nghahahaha']"
Non_HS,"lomba adu program","['lomba', 'adu', 'program']","['lomba', 'adu', 'program']","['lomba', 'adu', 'program']"
Non_HS,"denger banyak program dan janji dan sering tau pas jadi dijalankan rasanya males aja sih","['denger', 'banyak', 'program', 'dan', 'janji', 'dan', 'sering', 'tau', 'pas', 'jadi', 'dijalankan', 'rasanya', 'males', 'aja', 'sih']","['denger', 'program', 'janji', 'tau', 'pas', 'dijalankan', 'males', 'aja', 'sih']","['denger', 'program', 'janji', 'tau', 'pas', 'jalan', 'males', 'aja', 'sih']"
Non_HS,"debat cagub dki februari  segmen mantap ahok skak sylviana murni","['debat', 'cagub', 'dki', 'februari', 'segmen', 'mantap', 'ahok', 'skak', 'sylviana', 'murni']","['debat', 'cagub', 'dki', 'februari', 'segmen', 'mantap', 'ahok', 'skak', 'sylviana', 'murni']","['debat', 'cagub', 'dki', 'februari', 'segmen', 'mantap', 'ahok', 'skak', 'sylviana', 'murni']"
Non_HS,"pertanyaan ibu silvy rada maksa","['pertanyaan', 'ibu', 'silvy', 'rada', 'maksa']","['silvy', 'rada', 'maksa']","['silvy', 'rada', 'maksa']"
Non_HS,"tanggal pas pilkada nanti gak akan milih siapa siapa","['tanggal', 'pas', 'pilkada', 'nanti', 'gak', 'akan', 'milih', 'siapa', 'siapa']","['tanggal', 'pas', 'pilkada', 'gak', 'milih']","['tanggal', 'pas', 'pilkada', 'gak', 'milih']"
Non_HS,"saya pribadi bakal prefer kok muslim dengan kapabilitas tetapi lihat kondisinya ahok menjadi pilihan plg realistis buat kemajuan dki","['saya', 'pribadi', 'bakal', 'prefer', 'kok', 'muslim', 'dengan', 'kapabilitas', 'tetapi', 'lihat', 'kondisinya', 'ahok', 'menjadi', 'pilihan', 'plg', 'realistis', 'buat', 'kemajuan', 'dki']","['pribadi', 'prefer', 'muslim', 'kapabilitas', 'lihat', 'kondisinya', 'ahok', 'pilihan', 'plg', 'realistis', 'kemajuan', 'dki']","['pribadi', 'prefer', 'muslim', 'kapabilitas', 'lihat', 'kondisi', 'ahok', 'pilih', 'plg', 'realistis', 'maju', 'dki']"
Non_HS,"yang mendukung mas anies bukan berarti anti pak ahok begitu pula sebaliknya","['yang', 'mendukung', 'mas', 'anies', 'bukan', 'berarti', 'anti', 'pak', 'ahok', 'begitu', 'pula', 'sebaliknya']","['mendukung', 'mas', 'anies', 'anti', 'ahok']","['dukung', 'mas', 'anies', 'anti', 'ahok']"
Non_HS,"spanduk tolak salatkan pembela penista agama juga muncul kalibata https    srpbytign","['spanduk', 'tolak', 'salatkan', 'pembela', 'penista', 'agama', 'juga', 'muncul', 'kalibata', 'https', 'srpbytign']","['spanduk', 'tolak', 'salatkan', 'pembela', 'penista', 'agama', 'muncul', 'kalibata', 'https', 'srpbytign']","['spanduk', 'tolak', 'salat', 'bela', 'nista', 'agama', 'muncul', 'kalibata', 'https', 'srpbytign']"
Non_HS,"telak banget anjir ngakak","['telak', 'banget', 'anjir', 'ngakak']","['telak', 'banget', 'anjir', 'ngakak']","['telak', 'banget', 'anjir', 'ngakak']"
Non_HS,"ayo berlomba program jangan fitnah","['ayo', 'berlomba', 'program', 'jangan', 'fitnah']","['ayo', 'berlomba', 'program', 'fitnah']","['ayo', 'lomba', 'program', 'fitnah']"
Non_HS,"akhirnya nggak ngantuk lagi yeay","['akhirnya', 'nggak', 'ngantuk', 'lagi', 'yeay']","['nggak', 'ngantuk', 'yeay']","['nggak', 'ngantuk', 'yeay']"
Non_HS,"duh dibilang punya program paslon kesian kesian kesian","['duh', 'dibilang', 'punya', 'program', 'paslon', 'kesian', 'kesian', 'kesian']","['duh', 'dibilang', 'program', 'paslon', 'kesian', 'kesian', 'kesian']","['duh', 'bilang', 'program', 'paslon', 'kesi', 'kesi', 'kesi']"
Non_HS,"tuntut keadilan bagi penista agama puluhan jawara betawi ikuti aksi  jilid https    hwvuozyyov","['tuntut', 'keadilan', 'bagi', 'penista', 'agama', 'puluhan', 'jawara', 'betawi', 'ikuti', 'aksi', 'jilid', 'https', 'hwvuozyyov']","['tuntut', 'keadilan', 'penista', 'agama', 'puluhan', 'jawara', 'betawi', 'ikuti', 'aksi', 'jilid', 'https', 'hwvuozyyov']","['tuntut', 'adil', 'nista', 'agama', 'puluh', 'jawara', 'betawi', 'ikut', 'aksi', 'jilid', 'https', 'hwvuozyyov']"
Non_HS,"keras nih ahok","['keras', 'nih', 'ahok']","['keras', 'nih', 'ahok']","['keras', 'nih', 'ahok']"
Non_HS,"paslon anies sandiaga uno feb  utk jakarta indonesia raya oce","['paslon', 'anies', 'sandiaga', 'uno', 'feb', 'utk', 'jakarta', 'indonesia', 'raya', 'oce']","['paslon', 'anies', 'sandiaga', 'uno', 'feb', 'utk', 'jakarta', 'indonesia', 'raya', 'oce']","['paslon', 'anies', 'sandiaga', 'uno', 'feb', 'utk', 'jakarta', 'indonesia', 'raya', 'oce']"
Non_HS,"sesuai namanya ronde final","['sesuai', 'namanya', 'ronde', 'final']","['sesuai', 'namanya', 'ronde', 'final']","['sesuai', 'nama', 'ronde', 'final']"
Non_HS,"mendagri tambah pusing ketika emoh keluarkan fatwa status gubernur penista agama https    jamqimni","['mendagri', 'tambah', 'pusing', 'ketika', 'emoh', 'keluarkan', 'fatwa', 'status', 'gubernur', 'penista', 'agama', 'https', 'jamqimni']","['mendagri', 'pusing', 'emoh', 'keluarkan', 'fatwa', 'status', 'gubernur', 'penista', 'agama', 'https', 'jamqimni']","['mendagri', 'pusing', 'emoh', 'keluar', 'fatwa', 'status', 'gubernur', 'nista', 'agama', 'https', 'jamqimni']"
Non_HS,"tolong adu program","['tolong', 'adu', 'program']","['tolong', 'adu', 'program']","['tolong', 'adu', 'program']"
Non_HS,"genderang perang makin kencang","['genderang', 'perang', 'makin', 'kencang']","['genderang', 'perang', 'kencang']","['genderang', 'perang', 'kencang']"
Non_HS,"mpok sylvi udah mulai emosi uddude","['mpok', 'sylvi', 'udah', 'mulai', 'emosi', 'uddude']","['mpok', 'sylvi', 'udah', 'emosi', 'uddude']","['mpok', 'sylvi', 'udah', 'emosi', 'uddude']"
Non_HS,"some people gabisa bedain kasar sama tegas","['some', 'people', 'gabisa', 'bedain', 'kasar', 'sama', 'tegas']","['some', 'people', 'gabisa', 'bedain', 'kasar']","['some', 'people', 'gabisa', 'bedain', 'kasar']"
Non_HS,"beliau para pemimpin hebat indonesia kita bangga https    nawbpsxpt https    ccuaiev","['beliau', 'para', 'pemimpin', 'hebat', 'indonesia', 'kita', 'bangga', 'https', 'nawbpsxpt', 'https', 'ccuaiev']","['beliau', 'pemimpin', 'hebat', 'indonesia', 'bangga', 'https', 'nawbpsxpt', 'https', 'ccuaiev']","['beliau', 'pimpin', 'hebat', 'indonesia', 'bangga', 'https', 'nawbpsxpt', 'https', 'ccuaiev']"
Non_HS,"baca ini dulu lah biar mendinginkan suasana https    emgckcqe","['baca', 'ini', 'dulu', 'lah', 'biar', 'mendinginkan', 'suasana', 'https', 'emgckcqe']","['baca', 'biar', 'mendinginkan', 'suasana', 'https', 'emgckcqe']","['baca', 'biar', 'dingin', 'suasana', 'https', 'emgckcqe']"
Non_HS,"ayo berlomba program jgn pitnah doank","['ayo', 'berlomba', 'program', 'jgn', 'pitnah', 'doank']","['ayo', 'berlomba', 'program', 'jgn', 'pitnah', 'doank']","['ayo', 'lomba', 'program', 'jgn', 'pitnah', 'doank']"
Non_HS,"pokoknya kalo ahok udah ngomong aduuuuuuh kelar","['pokoknya', 'kalo', 'ahok', 'udah', 'ngomong', 'aduuuuuuh', 'kelar']","['pokoknya', 'kalo', 'ahok', 'udah', 'ngomong', 'aduuuuuuh', 'kelar']","['pokok', 'kalo', 'ahok', 'udah', 'ngomong', 'aduuuuuuh', 'kelar']"
Non_HS,"senjata makan tuan","['senjata', 'makan', 'tuan']","['senjata', 'makan', 'tuan']","['senjata', 'makan', 'tuan']"
Non_HS,"ahok kekerasan verbal masa koruptor dielus","['ahok', 'kekerasan', 'verbal', 'masa', 'koruptor', 'dielus']","['ahok', 'kekerasan', 'verbal', 'koruptor', 'dielus']","['ahok', 'keras', 'verbal', 'koruptor', 'elus']"
Non_HS,"gak ada program yang mau diserang yang diserang karakternya ahay uddude","['gak', 'ada', 'program', 'yang', 'mau', 'diserang', 'yang', 'diserang', 'karakternya', 'ahay', 'uddude']","['gak', 'program', 'diserang', 'diserang', 'karakternya', 'ahay', 'uddude']","['gak', 'program', 'serang', 'serang', 'karakter', 'ahay', 'uddude']"
Non_HS,"terkait jakarta tak ramah anak apa tanggapan pak https    ufauwbci","['terkait', 'jakarta', 'tak', 'ramah', 'anak', 'apa', 'tanggapan', 'pak', 'https', 'ufauwbci']","['terkait', 'jakarta', 'ramah', 'anak', 'tanggapan', 'https', 'ufauwbci']","['kait', 'jakarta', 'ramah', 'anak', 'tanggap', 'https', 'ufauwbci']"
Non_HS,"emang oce anies dan sandi dalam mengatasi urbanisasi dan lapangan kerja https    brceczskux","['emang', 'oce', 'anies', 'dan', 'sandi', 'dalam', 'mengatasi', 'urbanisasi', 'dan', 'lapangan', 'kerja', 'https', 'brceczskux']","['emang', 'oce', 'anies', 'sandi', 'mengatasi', 'urbanisasi', 'lapangan', 'kerja', 'https', 'brceczskux']","['emang', 'oce', 'anies', 'sandi', 'atas', 'urbanisasi', 'lapang', 'kerja', 'https', 'brceczskux']"
Non_HS,"suporternya mulai kampungan paslon masih ngomong","['suporternya', 'mulai', 'kampungan', 'paslon', 'masih', 'ngomong']","['suporternya', 'kampungan', 'paslon', 'ngomong']","['suporter', 'kampung', 'paslon', 'ngomong']"
Non_HS,"mulai seru","['mulai', 'seru']",['seru'],['seru']
Non_HS,"jadi debat terakhir nanti malam pilihanmu jatuh paslon yang mana pilkadadki","['jadi', 'debat', 'terakhir', 'nanti', 'malam', 'pilihanmu', 'jatuh', 'paslon', 'yang', 'mana', 'pilkadadki']","['debat', 'malam', 'pilihanmu', 'jatuh', 'paslon', 'pilkadadki']","['debat', 'malam', 'pilih', 'jatuh', 'paslon', 'pilkadadki']"
Non_HS,"wkwkwk udah dah pilih anies sandi aja https    hmxhjyhbnj","['wkwkwk', 'udah', 'dah', 'pilih', 'anies', 'sandi', 'aja', 'https', 'hmxhjyhbnj']","['wkwkwk', 'udah', 'dah', 'pilih', 'anies', 'sandi', 'aja', 'https', 'hmxhjyhbnj']","['wkwkwk', 'udah', 'dah', 'pilih', 'anies', 'sandi', 'aja', 'https', 'hmxhjyhbnj']"
Non_HS,"fitnah lebih kejam loh dari pembunuhan","['fitnah', 'lebih', 'kejam', 'loh', 'dari', 'pembunuhan']","['fitnah', 'kejam', 'loh', 'pembunuhan']","['fitnah', 'kejam', 'loh', 'bunuh']"
Non_HS,"mari jangan coba pakai","['mari', 'jangan', 'coba', 'pakai']","['mari', 'coba', 'pakai']","['mari', 'coba', 'pakai']"
Non_HS,"apapun itu keberanian ahok membongkar mafia anggaran menjadi tonggak penting menuju apbd kredibel dan akuntabel","['apapun', 'itu', 'keberanian', 'ahok', 'membongkar', 'mafia', 'anggaran', 'menjadi', 'tonggak', 'penting', 'menuju', 'apbd', 'kredibel', 'dan', 'akuntabel']","['apapun', 'keberanian', 'ahok', 'membongkar', 'mafia', 'anggaran', 'tonggak', 'apbd', 'kredibel', 'akuntabel']","['apa', 'berani', 'ahok', 'bongkar', 'mafia', 'anggar', 'tonggak', 'apbd', 'kredibel', 'akuntabel']"
